Week,Average of Channel 1 Views,Average of Channel 1 Interactions,Average of Channel 2 Views,Average of Channel 2 Interactions,Average of Site Visitors,Sum of Channel 1 Views,Sum of Channel 1 Interactions,Sum of Channel 2 Views,Sum of Channel 2 Interactions,Sum of Site Visitors
4/1/15 - 4/7/15,327143,6143,20585714,170000,88957,2290000,43000,144100000,1190000,622700
4/8/15 - 4/14/15,205714,6143,23842857,198571,90071,1440000,43000,166900000,1390000,630500
4/15/15 - 4/21/15,188571,6143,47142857,225714,112843,1320000,43000,330000000,1580000,789900
4/22/15 - 4/28/15,217143,6143,40857143,215714,107014,1520000,43000,286000000,1510000,749100
4/29/15 - 5/5/15,235714,6000,34000000,141429,77100,1650000,42000,238000000,990000,539700
5/6/15 - 5/12/15,220000,5857,32028571,154286,80500,1540000,41000,224200000,1080000,563500
5/13/15 - 5/19/15,344286,7000,65100000,200000,104214,2410000,49000,455700000,1400000,729500
5/20/15 - 5/26/15,1968571,17143,45771429,257143,133143,13780000,120000,320400000,1800000,932000
5/27/15 - 6/2/15,2554286,19714,66671429,324286,179714,17880000,138000,466700000,2270000,1258000
6/3/15 - 6/9/15,1514286,12143,61957143,264286,135143,10600000,85000,433700000,1850000,946000
6/10/15 - 6/16/15,1220000,12571,50914286,274286,140571,8540000,88000,356400000,1920000,984000
6/17/15 - 6/23/15,1292857,11429,44542857,265714,140571,9050000,80000,311800000,1860000,984000
6/24/15 - 6/30/15,1054286,11143,54671429,251429,142000,7380000,78000,382700000,1760000,994000
