Date,Month,Channel 1 Views,Channel 1 Interactions,Channel 2 Views,Channel 2 Interactions,Site Visitors,,,,,,
3/20/14,2014-3,"170,000","4,000","17,600,000","55,000","38,200",,,,,,
3/21/14,2014-3,"120,000","3,000","23,700,000","63,000","39,000",,,,,,
3/22/14,2014-3,"100,000","2,000","23,100,000","61,000","35,700",,,,,,
3/23/14,2014-3,"110,000","3,000","29,600,000","65,000","35,800",,,,,,
3/24/14,2014-3,"120,000","3,000","37,200,000","69,000","44,000",,,,,,
3/25/14,2014-3,"170,000","4,000","31,900,000","69,000","46,100",,,,,,
3/26/14,2014-3,"170,000","4,000","31,600,000","69,000","46,000",,,,,,
3/27/14,2014-3,"200,000","5,000","35,000,000","66,000","44,600",,,,,,
3/28/14,2014-3,"120,000","3,000","35,600,000","100,000","52,900",,,,,,
3/29/14,2014-3,"85,000","2,000","38,000,000","140,000","64,000",,,,,,
3/30/14,2014-3,"100,000","2,000","37,400,000","140,000","66,200",,,,,,
3/31/14,2014-3,"140,000","4,000","32,500,000","110,000","60,200",,,,,,
4/1/14,2014-4,"260,000","4,000","4,400,000","24,000","27,400",,,,,,
4/2/14,2014-4,"290,000","5,000","4,800,000","28,000","24,400",,,,,,
4/3/14,2014-4,"250,000","4,000","5,900,000","29,000","22,300",,,,,,
4/4/14,2014-4,"250,000","4,000","5,800,000","29,000","20,000",,,,,,
4/5/14,2014-4,"240,000","3,000","4,600,000","28,000","16,100",,,,,,
4/6/14,2014-4,"260,000","3,000","4,800,000","31,000","15,300",,,,,,
4/7/14,2014-4,"270,000","4,000","5,800,000","28,000","19,100",,,,,,
4/8/14,2014-4,"230,000","4,000","6,100,000","29,000","20,100",,,,,,
4/9/14,2014-4,"180,000","4,000","7,100,000","26,000","18,500",,,,,,
4/10/14,2014-4,"160,000","4,000","9,400,000","31,000","19,800",,,,,,
4/11/14,2014-4,"100,000","3,000","9,900,000","30,000","18,000",,,,,,
4/12/14,2014-4,"110,000","2,000","7,900,000","28,000","13,800",,,,,,
4/13/14,2014-4,"120,000","3,000","8,000,000","29,000","13,600",,,,,,
4/14/14,2014-4,"130,000","3,000","9,500,000","27,000","18,100",,,,,,
4/15/14,2014-4,"140,000","4,000","9,900,000","30,000","19,800",,,,,,
4/16/14,2014-4,"130,000","3,000","15,900,000","32,000","20,300",,,,,,
4/17/14,2014-4,"150,000","4,000","16,400,000","34,000","21,300",,,,,,
4/18/14,2014-4,"130,000","3,000","16,400,000","33,000","18,300",,,,,,
4/19/14,2014-4,"110,000","3,000","15,600,000","37,000","16,300",,,,,,
4/20/14,2014-4,"110,000","2,000","15,300,000","38,000","17,000",,,,,,
4/21/14,2014-4,"140,000","4,000","17,200,000","30,000","20,500",,,,,,
4/22/14,2014-4,"140,000","4,000","18,600,000","39,000","24,300",,,,,,
4/23/14,2014-4,"140,000","4,000","18,000,000","32,000","20,700",,,,,,
4/24/14,2014-4,"140,000","4,000","25,200,000","41,000","25,800",,,,,,
4/25/14,2014-4,"130,000","3,000","23,700,000","41,000","23,500",,,,,,
4/26/14,2014-4,"100,000","2,000","21,000,000","41,000","19,400",,,,,,
4/27/14,2014-4,"120,000","3,000","20,500,000","41,000","20,700",,,,,,
4/28/14,2014-4,"170,000","4,000","23,800,000","40,000","25,400",,,,,,
4/29/14,2014-4,"180,000","6,000","17,400,000","32,000","25,300",,,,,,
